Sample Rate: 61.5384615384615,,,,,,,,,,,
Relative Time,Date,Time Stamp Local,Cheek_Volt,Cheek_Heat Flux,Cheek_Temp ,Calf_Volt,Calf_Heat Flux,Calf_Temp,Wrst_Volt,Wrst_Heat Flux,Wrst_Temp
8.84,9/11/2024,2:37:50 PM,0.001403808594,75.71783138,34.39331055,0.001342773438,71.65279816,33.42285156,0.0008850097656,92.47750947,35.52856445
8.97,9/11/2024,2:37:50 PM,0.001373291016,74.07179157,34.46655273,0.001251220703,66.7673801,33.49609375,0.0008544921875,89.28862983,35.52856445
9.1,9/11/2024,2:37:51 PM,0.001251220703,67.48763232,34.46655273,0.00146484375,78.1666889,33.45947266,0.001007080078,105.233028,35.52856445
9.23,9/11/2024,2:37:51 PM,0.001373291016,74.07179157,34.42993164,0.001373291016,73.28127084,33.45947266,0.0008239746094,86.0997502,35.49194336
9.36,9/11/2024,2:37:51 PM,0.001342773438,72.42575175,34.46655273,0.001556396484,83.05210696,33.45947266,0.0008850097656,92.47750947,35.52856445
9.49,9/11/2024,2:37:51 PM,0.001342773438,72.42575175,34.42993164,0.001525878906,81.42363427,33.42285156,0.0008850097656,92.47750947,35.52856445
9.62,9/11/2024,2:37:51 PM,0.001251220703,67.48763232,34.42993164,0.00146484375,78.1666889,33.45947266,0.0008239746094,86.0997502,35.52856445
9.75,9/11/2024,2:37:51 PM,0.001312255859,70.77971194,34.46655273,0.001403808594,74.90974353,33.45947266,0.0008544921875,89.28862983,35.49194336
9.88,9/11/2024,2:37:51 PM,0.001373291016,74.07179157,34.46655273,0.001312255859,70.02432547,33.45947266,0.0009765625,102.0441484,35.49194336
10.01,9/11/2024,2:37:52 PM,0.001190185547,64.19555269,34.42993164,0.001525878906,81.42363427,33.42285156,0.0008544921875,89.28862983,35.52856445
10.14,9/11/2024,2:37:52 PM,0.001159667969,62.54951288,34.46655273,0.001495361328,79.79516159,33.45947266,0.0009765625,102.0441484,35.49194336
10.27,9/11/2024,2:37:52 PM,0.001220703125,65.8415925,34.46655273,0.001251220703,66.7673801,33.45947266,0.0009155273438,95.66638911,35.52856445
10.4,9/11/2024,2:37:52 PM,0.001190185547,64.19555269,34.46655273,0.001312255859,70.02432547,33.45947266,0.0008850097656,92.47750947,35.49194336
10.53,9/11/2024,2:37:52 PM,0.001098632813,59.25743325,34.42993164,0.001342773438,71.65279816,33.45947266,0.0008544921875,89.28862983,35.52856445
10.66,9/11/2024,2:37:52 PM,0.001098632813,59.25743325,34.46655273,0.001312255859,70.02432547,33.45947266,0.0008239746094,86.0997502,35.52856445
10.79,9/11/2024,2:37:52 PM,0.001037597656,55.96535363,34.53979492,0.001312255859,70.02432547,33.56933594,0.0007629394531,79.72199092,35.60180664
10.92,9/11/2024,2:37:52 PM,0.001220703125,65.8415925,34.53979492,0.001312255859,70.02432547,33.53271484,0.0008850097656,92.47750947,35.52856445
11.05,9/11/2024,2:37:53 PM,0.001098632813,59.25743325,34.46655273,0.001281738281,68.39585279,33.45947266,0.0008544921875,89.28862983,35.52856445
11.18,9/11/2024,2:37:53 PM,0.001037597656,55.96535363,34.46655273,0.00146484375,78.1666889,33.42285156,0.0009155273438,95.66638911,35.49194336
11.31,9/11/2024,2:37:53 PM,0.001007080078,54.31931381,34.46655273,0.001495361328,79.79516159,33.45947266,0.0008850097656,92.47750947,35.49194336
11.44,9/11/2024,2:37:53 PM,0.001007080078,54.31931381,34.53979492,0.001403808594,74.90974353,33.49609375,0.0007019042969,73.34423165,35.52856445
